name,county,county_code
Valea Mare,Alba,AB
Balmosesti,Alba,AB
Barlesti,Alba,AB
Bunta,Alba,AB
Olteni,Alba,AB
Gligoresti,Alba,AB
Rachis,Alba,AB
Sicoiesti,Alba,AB
Valea Holhorii,Alba,AB
Bisericani,Alba,AB
Valea Sasului,Alba,AB
Balesti,Alba,AB
Carasti,Alba,AB
Plisti,Alba,AB
Valea Cocesti,Alba,AB
Bidigesti,Alba,AB
Bocesti,Alba,AB
Goasele,Alba,AB
Sohodol,Alba,AB
Vanvucesti,Alba,AB
Badai,Alba,AB
Tomesti,Alba,AB
Barlesti-Catun,Alba,AB
Gura Izbitei,Alba,AB
Poiana,Alba,AB
Sorlita,Alba,AB
Avramesti,Alba,AB
Helesti,Alba,AB
Jeflesti,Alba,AB
Modolesti,Alba,AB
Ravicesti,Alba,AB
Bai,Alba,AB
Cornu,Alba,AB
Magura,Alba,AB
Tarsa-Plai,Alba,AB
Varsi-Rontu,Alba,AB
Cortesti,Alba,AB
Iliesti,Alba,AB
Lunca de Jos,Alba,AB
Valea Verde,Alba,AB
Achimetesti,Alba,AB
Candesti,Alba,AB
Cheleteni,Alba,AB
Dobrot,Alba,AB
Cocosesti,Alba,AB
Dealu Ordancusii,Alba,AB
Marinesti,Alba,AB
Scoarta,Alba,AB
Stalnisoara,Alba,AB
Floresti,Alba,AB
Bolovanesti,Alba,AB
Remetea,Alba,AB
Ciocasu,Alba,AB
Panca,Alba,AB
Sasa,Alba,AB
Botesti,Alba,AB
Dealu Dostatului,Alba,AB
Poiana Ursului,Alba,AB
Gorgan,Alba,AB
Holobani,Alba,AB
Laz,Alba,AB
Hoanca,Alba,AB
Izbicioara,Alba,AB
Matacina,Alba,AB
Negresti,Alba,AB
Bardesti,Alba,AB
Bogdanesti,Alba,AB
Dogaresti,Alba,AB
Perjesti,Alba,AB
Poiana,Alba,AB
Puselesti,Alba,AB
Valeni,Alba,AB
Popesti,Alba,AB
Robesti,Alba,AB
Runcuri,Alba,AB
Tomnatec,Alba,AB
Valea Maciului,Alba,AB
Trifesti,Alba,AB
Varsii Mari,Alba,AB
Joldisesti,Alba,AB
Cheia,Alba,AB
Viezuri,Alba,AB
Dumbrava,Alba,AB
Isca,Alba,AB
Poieni,Alba,AB
Dosu Vasesti,Alba,AB
Poieni,Alba,AB
Boldesti,Alba,AB
Toci,Alba,AB
Stertesti,Alba,AB
Valcesti,Alba,AB
Aronesti,Alba,AB
Bordestii Poieni,Alba,AB
Maghierat,Alba,AB
Zagris,Alba,AB
Capu Dealului,Alba,AB
Muntari,Alba,AB
Simulesti,Alba,AB
Jurcuiesti,Alba,AB
Margaia,Alba,AB
Petreni,Alba,AB
Dealu Crisului,Alba,AB
Harasti,Alba,AB
Ibru,Alba,AB
Botani,Alba,AB
Cicard,Alba,AB
Geamana,Alba,AB
